Date,Day,Name of place,Location (approximate),Details,Source url,Image url,Icon 1,lon,lat,
17/11/2012,Saturday,Eshkol,"31.245682, 34.413300",5 rockets fall in open spaces in the Eshkol Regional Council, none wounded,http://www.haaretz.com/news/diplomacy-defense/live-blog-idf-prepares-for-ground-invasion-as-gaza-offensive-enters-fourth-day-1.478505,,placemark_circle_highlight,31.245682,34.4133
18/11/2012,Sunday,Ashkelon,"31.6667, 34.5585","Rocket hits home in Ashkelon, another rocket strikes car, causing damage; another rocket hits high wire in city",http://www.haaretz.com/news/diplomacy-defense/live-blog-day-5-of-israel-s-gaza-offensive-1.478624,,placemark_circle_highlight,31.6667,34.5585,
11/19/12,Monday,Rafah,"31.2826, 34.2550
","An attack on a car in Miraj neighborhood in Rafah killed Mohammad Shaath, 20, and one other who has not been identified, Gaza emergency services official Adham Abu Salmiya said",http://www.maannews.net/eng/ViewDetails.aspx?ID=539339,,placemark_circle_highlight,31.2826,34255,
15/11/2012,Thursday,Eshkol Regional Council,"31.232, 34.463
",Two rockets explode in Eshkol Regional Council,http://www.haaretz.com/news/diplomacy-defense/live-blog-rockets-strike-tel-aviv-area-three-israelis-killed-in-attack-on-south-1.477960,,placemark_circle_highlight,31232,34463,
15/11/2012,Thursday,Factory in Eshkol Regional Council ,"31.232, 34.464
",Rocket launched by Gaza militants hits factory in the Eshkol Regional Council ,http://www.haaretz.com/news/diplomacy-defense/live-blog-rockets-strike-tel-aviv-area-three-israelis-killed-in-attack-on-south-1.477960,,placemark_circle_highlight,31232,34464,
18/11/2012,Sunday,Eshkol,"31.249, 34.421",Two rockets strike open field in Eshkol,http://www.haaretz.com/news/diplomacy-defense/live-blog-day-5-of-israel-s-gaza-offensive-1.478624,,placemark_circle_highlight,31249,34421,
18/11/2012,Sunday,Ashkelon,"31.6677, 34.5584",Two Israelis lightly wounded from shrapnel after rocket hits building in Ashkelon. Five people treated for shock.,http://www.haaretz.com/news/diplomacy-defense/live-blog-day-5-of-israel-s-gaza-offensive-1.478624,,placemark_circle_highlight,31.6677,34.5584,
18/11/2012,Sunday,Beit Lahiya,"31.5515, 34.5084",Palestinian media reports two children killed in an IAF strike in the Beit Lahiya area in Gaza,http://www.haaretz.com/news/diplomacy-defense/live-blog-day-5-of-israel-s-gaza-offensive-1.478624,,placemark_circle_highlight,31.5515,34.5084,
11/19/12,Monday,Zeitoun,"31.491189, 34.444111","Ma'an news agency said at least three people, including two children - aged three and four - were killed during an aerial attack on the Zeitoun neighborhood","http://www.ynetnews.com/articles/0,7340,L-4308122,00.html",http://www.ynetnews.com/PicServer3/2012/11/19/4281202/REUTERS0GZA01_PALESTINIANS-ISRAEL-_1119_11402825_wa.jpg,placemark_circle_highlight,31.491189,34.444111,
15/11/2012,Thursday,Be'er Sheva,"31.2592, 34.790
",Two rockets fall in open areas in Be'er Sheva,http://www.haaretz.com/news/diplomacy-defense/live-blog-rockets-strike-tel-aviv-area-three-israelis-killed-in-attack-on-south-1.477960,,placemark_circle_highlight,31.2592,34.79,
15/11/2012,Thursday,Be'er Sheva,"31.2592, 34.790
",One Gaza rocket hits open field in Be'er Sheva,http://www.haaretz.com/news/diplomacy-defense/live-blog-rockets-strike-tel-aviv-area-three-israelis-killed-in-attack-on-south-1.477960,,placemark_circle_highlight,31.2592,34.79,
15/11/2012,Thursday,Eshkol Regional Council,"31.232, 34.464
","Rocket volley explodes in open fields at Eshkol Regional Council; none wounded, no damages reported",http://www.haaretz.com/news/diplomacy-defense/live-blog-rockets-strike-tel-aviv-area-three-israelis-killed-in-attack-on-south-1.477960,,placemark_circle_highlight,31232,34464,
15/11/2012,Thursday,Sheba Medical Center,"32.0491, 34.8408
","A four-year-old boy, who was moderately wounded by the rocket that hit Kiryat Malakhi, is hospitalized at Sheba Medical Center, Tel Hashomer",http://www.haaretz.com/news/diplomacy-defense/live-blog-rockets-strike-tel-aviv-area-three-israelis-killed-in-attack-on-south-1.477960,,placemark_circle_highlight,32.0491,34.8408,
19/11/2012,Monday,Ofakim,"31.3128, 34.6225
","A rocket from Gaza has hit Ofakim, just west of Gaza",http://www.haaretz.com/news/diplomacy-defense/live-blog-rocket-barrage-strikes-israel-gaza-death-toll-reaches-95-1.478922,,placemark_circle_highlight,31.3128,34.6225,
